標題,演出者,專輯/來源,時長(mm:ss),時長(秒),合作名單,標記
"Tell Me, Would You Love Me All Again? (Sped Up)",Soren,"Tell Me, Would You Love Me All Again?",2:17,137,,Sped Up
In The Stars,Benson Boone,Walk Me Home...,3:37,217,,
朋友圈,高宇Slient; #0000FF; Sapling; B.T.M,朋友圈,2:56,176,,
想去海边,夏日入侵企画,想去海边,4:27,267,,
最最幸運的事情,吳克群,今天很OK,3:46,226,,
Meant To Be,Arc North; Krista Marina,Meant To Be,3:29,209,,
Another Love (Tiësto Remix),Tom Odell,Another Love (Tiësto Remix),3:06,186,,Remix
Cause I`m Crazy,DJ Goja,Cause I`m Crazy,3:03,183,,
浪子的路 (合作演出：茄子蛋),RPG,浪子的路,3:32,212,茄子蛋,
回到那天,文慧如,回到那天,3:32,212,,
She’s The Sun,Gabe Watkins,She’s The Sun,3:09,189,,
失控,井迪,失控,4:15,255,,
電梯戰神,寶石Gem,電梯戰神,3:28,208,,
monster,Layto,monster,2:56,176,,
Young Life Crisis,UPSAHL,Young Life Crisis,2:37,157,,
Alibi (with Pabllo Vittar & Yseult),Sevdaliza; Pabllo Vittar; Yseult,Alibi (with Pabllo Vittar & Yseult),2:42,162,,
PINK LIKE SUKI,,Pebbles&TamTam,2:06,126,,
El Tiempo,Skin On Flesh,89.7 Growl FM,2:08,128,,
孤独与辜负,赵乃吉,孤独与辜负,3:42,222,,
晚婚 (Live),姚晓棠,2021中国好声音 第10期 (Live),5:20,320,,Live
Too Bad,Connor Price,Too Bad,2:14,134,,
各自安好,劉若英,各自安好,4:24,264,,
如果我們還在一起,宇宙人 CosmosPeople,右腦,4:34,274,,
我們沒有在一起,劉若英,在一起,4:40,280,,
La Roux - Bulletproof (Gamper & Dadoni Remix),,MrRevillz,4:35,275,,Remix
this is what sadness feels like,JVKE,this is what ____ feels like (Vol. 1-4),3:12,192,,
this is what autumn feels like,JVKE,this is what autumn feels like,3:40,220,,
this is what winter feels like,JVKE,this is what winter feels like,3:15,195,,
错季,秋原依,错季,4:36,276,,
OK了 (Vroom),KnowKnow; 陳澤,OK了 (Vroom),2:32,152,,
妳對我多重要,BK,妳對我多重要,3:20,200,,
Cabin Fever,Diggy Graves,Cabin Fever,2:59,179,,
Mine,1nonly,Mine,2:35,155,,
Birds in a Cage,YCK,Birds in a Cage,3:28,208,,
不再等你,Lil Puff; Mikey-18; 哨孟定,不再等你,3:05,185,,
暮色回响 (Live),张碧晨; 李承铉,天赐的声音第五季 第10期 (Live),3:57,237,,Live
至少还有你 (说唱版),歪歪超; 覆予,至少还有你 (说唱版),3:03,183,,
Automotivo Bibi Fogosa (Censurado),Bibi Babydoll; DJ Brunin XM; KZA Produções,Automotivo Bibi Fogosa (Censurado),2:10,130,,
Minefield,Nic D,Minefield,2:39,159,,
后来有了她,吕口口,后来有了她,3:44,224,,
被神明寫的歌 (完整版),袁小葳,被神明寫的歌,3:05,185,,
