標題,演出者,專輯/來源,時長(mm:ss),時長(秒),合作名單,標記
Hall of Fame (合作演出：will.i.am),手創樂團,Hall of Fame,3:22,202,will.i.am,
Somebody Told Me,The Killers,Hot Fuss,3:18,198,,
All That Glitters,Earl,Tongue Tied,3:18,198,,
HARD-STYLE ♦ Sweater Weather (Jomarijan  Remix),,Psyadvance Music,3:25,205,,Remix
Freeze,Kygo,Freeze,8:08,488,,
HBz - Not Fair (Bounce Mix),,Bounce United,4:07,247,,
"Tag, You're It",Melanie Martinez,Cry Baby,3:10,190,,
Bury Me Low,8 Graves,Black,3:38,218,,
Ghost Town,Layto; Neoni,Ghost Town,3:14,194,,
House of Memories,Panic! At The Disco,Death of a Bachelor,3:29,209,,
Weak,AJR,The Click (Deluxe Edition),3:22,202,,
Me agobia (con Lean),Christian Villanueva,Me agobia,2:39,159,,
HAPPIER IN HELL,Royal; the Serpent,Happier in Hell,2:54,174,,
07 Britney,Chelsea Collins,07 Britney,3:03,183,,
It's Time,Imagine Dragons,It’s Time,4:01,241,,
If You Could See Me Now,手創樂團,#3,3:40,220,,
Downtown (合作演出：埃里克·納利、Grandmaster Caz、柯莫迪和梅勒·梅爾),麥可莫,This Unruly Mess I've Made,4:53,293,埃里克·納利、Grandmaster Caz、柯莫迪和梅勒·梅爾,
Good Vibes Tan Lines,Thomas Frinking和Rochelle Diamante,Up 3,2:51,171,,
Someone Like You,Klaas,Someone Like You,2:56,176,,
Bleeding Love,VAMERO; LIZOT,Bleeding Love,2:49,169,,
Summer Air,ItaloBrothers,Summer Air,3:04,184,,
Chlorine,twenty one pilots,Trench,5:25,325,,
Radiohead - Creep (Gamper & Dadoni feat. Ember Island Remix),,電台司令,2:56,176,Ember Island Remix,Remix
drinking games,Silver Sphere,drinking games,3:21,201,,
Brave,Ella Henderson,Everything I Didn’t Say,3:22,202,,
Do Or Die (合作演出：Tina Stachowiak),Axel Johansson,Do Or Die,3:25,205,Tina Stachowiak,
First Time,Kygo; Ellie Goulding,First Time,3:14,194,,
No Type,Rae Sremmurd,SremmLife,3:21,201,,
West Coast,OneRepublic,West Coast,3:13,193,,
Umbrella (合作演出：Ember Island),Hard Lights; Moonshine; Marnik,Umbrella,3:01,181,Ember Island,
Oldest,Brooke Alexx,"I'm Sorry, Tokyo",3:08,188,,
Sun Still Rises,Regina Price,Sun Still Rises,3:06,186,,
Paper Planes,M.I.A.,Kala,3:26,206,,
Fashion Killa (Papapapa) (合作演出：斯特伏龍·唐),梅森,Fashion Killa (Papapapa),2:29,149,斯特伏龍·唐,
Therapy,Anne-Marie,Therapy,2:46,166,,
drunk text me,Lexi Jayde,drunk text me,3:34,214,,
Sing It With Me,JP Cooper; Astrid S,Sing It With Me (Acoustics),3:22,202,,
Don't Break the Heart,Tom Grennan,Don't Break the Heart,3:50,230,,
Love Of Your Life,RAYE,Love Of Your Life,3:17,197,,
she's all i wanna be,Tate McRae,she's all i wanna be,3:27,207,,
Flashbang dance (合作演出：n0thing),The Verkkars,Flashbang dance,2:40,160,n0thing,
ur just horny,GAYLE,ur just horny,2:59,179,,
She Wants Me Dead (合作演出：The High),Cazzette; AronChupa,She Wants Me Dead,3:24,204,The High,
abc (The Wild Remix) (合作演出：GAYLE),The Wild,abc (The Wild Remix),3:03,183,GAYLE,Remix
Take You Down,ILLENIUM,Take You Down,3:42,222,,
Someday,OneRepublic,Human (Deluxe),3:08,188,,
Good Together (Acoustic),shy martin,Good Together (Acoustic),3:28,208,,Acoustic
MONEY,LISA,LALISA,2:49,169,,
No One Can Fix Me,Frawley,No One Can Fix Me,3:27,207,,
LA On A Saturday Night (Hazers Remix),Hearts; Colors,LA On A Saturday Night (Remixes),3:07,187,,Remix
A$AP Ferg ft. Nicki Minaj - Plain Jane (KEAN DYSSO Remix) (Bass Boosted),,CAR BASS MUSIC,3:08,188,Nicki Minaj - Plain Jane (KEAN DYSSO Remix,Remix
Billie Eilish - Therefore I Am (UNDREAM Remix),,Trap Nation,3:13,193,,Remix
Love Is Gone (Tiësto Remix) (合作演出：Dylan Matthew),Slander; Tiësto,Love Is Gone (Tiësto Remix),2:50,170,Dylan Matthew,Remix
Thunder,Gabry Ponte; LUM!X; Prezioso,Thunder,2:40,160,,
abcdefu (合作演出：Royal),GAYLE,abcdefu,2:50,170,Royal,
"1 step forward, 3 steps back",Olivia Rodrigo,SOUR,2:44,164,,
Wouldn’t Change A Thing,ILLENIUM; Thirty Seconds To Mars,Wouldn’t Change A Thing,3:07,187,,
Hate You,Jim Yosef; Riell,Hate You,3:18,198,,
American Dream,Mia Vaile,American Dream,3:38,218,,
Hold Me,KEAN DYSSO,Hold Me,3:06,186,,
Unbelievable,Why Don't We,Unbelievable,3:10,190,,
Addict,NEFFEX,Addict,3:17,197,,
Hiding In The Blue,TheFatRat; RIELL,Hiding In The Blue,3:42,222,,
Habit,Laurell,Habit,3:01,181,,
I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),3:40,220,,Version
Bodytalk (STFU),Blasterjaxx; Raven; Kreyn,Bodytalk (STFU),2:26,146,,
Young And Beautiful (DH Orchestral Version),Lana Del Rey,Music From Baz Luhrmann's Film The Great Gatsby (Deluxe Edition),3:52,232,,Version
Bad Things,mgk; Camila Cabello,bloom (Deluxe),4:00,240,,
Vogue,Mia Vaile,Wallflower EP,3:06,186,,
Diamonds,Talia Mar,Diamonds,3:37,217,,
Demons,Imagine Dragons,Night Visions (Deluxe),2:56,176,,
Better Not Together,Anne-Marie,Therapy,3:09,189,,
Bad Habits,Ed Sheeran,Bad Habits,3:51,231,,
Castaway,LU2VYK; River,Castaway,3:47,227,,
Take Me Back to London (合作演出：Stormzy),Ed Sheeran,No.6 Collaborations Project,3:10,190,Stormzy,
Psycho,Maisie Peters,Psycho,3:05,185,,
Don't,Ed Sheeran,x (Deluxe Edition),3:40,220,,
Rude (Zedd Remix),MAGIC!,Rude (Zedd Remix),4:34,274,,Remix
Gone Are The Days (合作演出：James Gillespie),Kygo,Gone Are The Days,3:17,197,James Gillespie,
Whispering Still (Little Rose Remix) (合作演出：Charity Children),SRTW,Whispering Still (Little Rose Remix),3:15,195,Charity Children,Remix
Happier Than Ever,Billie Eilish,Happier Than Ever,4:59,299,,
Praying To A God (LUKE Remix),Mr. Probz,Praying To A God (Remixes),3:15,195,,Remix
High Enough,K.Flay,Every Where Is Some Where (Deluxe Version),3:52,232,,
Reckless,Madison Beer,Reckless,3:24,204,,
Hot N Cold,Katy Perry,One Of The Boys,3:41,221,,
Someday,Kygo; Zac Brown,Golden Hour,3:44,224,,
Drew Barrymore,Lu2vyk,Drew Barrymore,3:26,206,,
Drive (合作演出：Luma),BH,Drive,3:26,206,Luma,
All For You,The Waked; Hanna Löwenborg,All For You,3:28,208,,
Bring Me Back (合作演出：Claire Ridgely),Miles Away,Bring Me Back,3:39,219,Claire Ridgely,
Hearts on Fire (合作演出：Lights),ILLENIUM; Dabin,Hearts on Fire,3:57,237,Lights,
Waiting (合作演出：Daisy Guttridge),Vicetone,Waiting,3:26,206,Daisy Guttridge,
Down For The Ride,ItaloBrothers,Down For The Ride,2:41,161,,
No Way,JRL,No Way,3:08,188,,
Monody (BIMONTE Remix) (合作演出：Laura Brehm),TheFatRat,Classics Remixed,4:29,269,Laura Brehm,Remix
Love Again (合作演出：Alida),Alok,Love Again,2:28,148,Alida,
Nathan Evans - Wellerman (Phav & Deliriouz Hardstyle Bootleg) | HQ Videoclip,,HardstyleUp2Datez [HU2Dz],2:56,176,,
Train - Hey Sole Sister (Ryan Hunter KickNBass Bootleg),,The Melbourne Bounce,3:10,190,,
Sweet Liar,Mia Vaile,Outsider,3:49,229,,
All Your Exes,Julia Michaels,Not In Chronological Order,3:30,210,,
Rampampam,Minelli,Rampampam,3:21,201,,
Lea Land,Alfons,Lea Land,3:14,194,,
Faded Love,Leony,Faded Love,2:29,149,,
Beautiful Mistakes,Maroon 5; Megan Thee Stallion,JORDI (Deluxe),3:48,228,,
PSYCHO,AViVA,PSYCHO,3:35,215,,
I'm Not A Saint,Billy Raffoul,1975,3:16,196,,
The Woodchuck Song,AronChupa; Little Sis Nora,The Woodchuck Song,2:35,155,,
Dancing In My Sleep,Torine,Dancing In My Sleep,3:21,201,,
Money,Mia Vaile,Wallflower EP,3:26,206,,
The Way I Loved You (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),4:04,244,,Version
You’re Not Sorry (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),4:22,262,,Version
White Horse (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),3:55,235,,Version
21,Gracie Abrams,minor,3:06,186,,
My Way,Harris; Ford; Mike Candys,My Way,3:03,183,,
One Million,Tujamo; LOTTEN,One Million,3:08,188,,
Twinkle Twinkle,Holy Molly,Twinkle Twinkle,3:10,190,,
Don't Forget (Blaikz Remix),LIZOT; Nevve,Don't Forget (Blaikz Remix),2:36,156,,Remix
Does She Know,Astrid S,Party's Over,3:43,223,,
Dive (合作演出：Chris James),Hot Shade; Mike Perry,Dive,2:45,165,Chris James,
Fading,Alle Farben; ILIRA,Fading,3:28,208,,
cheers,blackbear,cheers,3:22,202,,
One Day [Club Mix] (合作演出：ROZES),Sam Feldt; Yves V,Birthday Club Mixes,2:36,156,ROZES,
Creep,R3HAB; GATTÜSO,Creep,2:42,162,,
mind games,renforshort,mind games,3:42,222,,
Fight Fire With Fire,Ran-D; LePrince,Fight Fire With Fire,3:56,236,,
Dreamers Of The Universe (合作演出：Mark Vayne和Diesel),Ran-D,Dreamers Of The Universe,4:22,262,Mark Vayne和Diesel,
How Far I'll Go,Da Tweekaz,How Far I'll Go,4:21,261,,
Hurricane,Ran-D,Hurricane,4:56,296,,
Run From Reality,Ran-D; Endymion; LePrince,Reverze 2020 Power Of Perception,4:02,242,,
Moskau,Da Tweekaz; Harris; Ford,Moskau,3:36,216,,
Own the World,KYANU,Own the World,3:01,181,,
Nothing Stopping Me,Vicetone,Nothing Stopping Me,3:44,224,,
Secrets,RYYZN,Secrets,2:43,163,,
Better When You're Gone,大衛·庫塔; 布魯克斯; Loote,Better When You're Gone,3:13,193,,
Heart Made of Stone,The Tech Thieves,The Red EP,2:39,159,,
Heaven,SJ; Katelyn Tarver,Heaven,2:31,151,,
EGO,Gia Woods,EGO,3:11,191,,
Photograph (Felix Jaehn Remix),Ed Sheeran,Photograph (Felix Jaehn Remix),3:23,203,,Remix
Better Than This,Mike Perry; David Rasmussen,Better Than This,3:28,208,,
Runaways (合作演出：Teemu),Sam Feldt; Deepend,Runaways,3:01,181,Teemu,
Friendzone,G.O.A.T,Friendzone,3:49,229,,
GRRRLS,AViVA,GRRRLS,3:49,229,,
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",紅粉佳人,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",3:36,216,,
This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs; Cookin' On 3 Burners,Layers,3:16,196,,
r u ok,Tate McRae,r u ok,3:06,186,,
Skin,Sabrina Carpenter,Skin,2:58,178,,
Let It Be Me (合作演出：Ava Max),David Guetta,7,2:53,173,Ava Max,
drivers license,Olivia Rodrigo,SOUR,4:03,243,,
The Hum,Briz DJ,The Rhythm,4:11,251,,
"Let Me Move You (From the Netflix film ""Work It"")",Sabrina Carpenter,Let Me Move You (From the Netflix film Work It),2:28,148,,
Ghost (Lost Kings Remix),Halsey,Room 93 (The Remixes),3:10,190,,Remix
Trouble (Sander Kleinenberg Remix),Halsey,Room 93 (The Remixes),3:06,186,,Remix
Addicted To A Memory (合作演出：Bahari),Zedd,True Colors,5:04,304,Bahari,
Nevada (合作演出：Cozi Zuehlsdorff),Vicetone,Nevada,3:29,209,Cozi Zuehlsdorff,
Hurricane (Arty Remix),Halsey,Room 93 (The Remixes),3:45,225,,Remix
Walk Thru Fire,Vicetone,Walk Thru Fire,3:15,195,,
Sexy And I Know It,LMFAO,Sorry For Party Rocking,3:20,200,,
The Spook,KSHMR; BassKillers; B3nte,The Spook,2:46,166,,
One Life,Mike Perry,One Life,3:25,205,,
Keep You Mine,NOTD; Shy Martin,Keep You Mine,2:55,175,,
I Forgive You,凱莉克萊森,堅定不移,3:05,185,,
Should've Said No (Live From Clear Channel Stripped 2008),Taylor Swift,Live From Clear Channel Stripped 2008,3:49,229,,Live
Your Song,RITA ORA,Phoenix (Deluxe),3:01,181,,
Blow Your Mind (Mwah),Dua Lipa,Dua Lipa (Deluxe),2:59,179,,
Drenched,曲婉婷,Everything In The World,3:59,239,,
Outside (合作演出：Ellie Goulding),凱文哈里斯,Motion,3:48,228,Ellie Goulding,
Wait For You (合作演出：Maia Wright),Mike Williams,Wait For You,2:53,173,Maia Wright,
fools (can't help falling in love),Foster; Sody; Sarcastic Sounds,fools (can't help falling in love),2:46,166,,
"i hate u, i love u (合作演出：Olivia O'brien)",gnash,us,4:12,252,Olivia O'brien,
do re mi,blackbear,Summer Summer Summer,3:31,211,,
Panic Room,Au; Ra,Panic Room,3:58,238,,
Gasoline,Halsey,BADLANDS (Deluxe),3:20,200,,
HUMBLE.,Kendrick Lamar,DAMN.,2:57,177,,
DICTATOR,REI AMI,DICTATOR,3:02,182,,
Colors (Audien Remix),Halsey,Complementary Colors,4:31,271,,Remix
she's all yours,Loote,lost,2:42,162,,
tomorrow tonight,Loote,lost,3:23,203,,
Dreaming Alone (Acoustic),Against The Current,Gravity (The Acoustic Sessions Volume II),3:03,183,,Acoustic
Drugs (合作演出：Two Feet),UPSAHL,Drugs,2:36,156,Two Feet,
"Sit Still, Look Pretty",Daya,"Sit Still, Look Pretty",3:28,208,,
Closer (合作演出：Halsey),The Chainsmokers,Collage,4:06,246,Halsey,
death bed (coffee for your head),Powfu; beabadoobee,poems of the past,2:54,174,,
Knees,Bebe Rexha,Expectations,3:27,207,,
Another Life [twocolors Remix] (合作演出：Alida),Lucas; Steve,Another Life (twocolors Remix),3:16,196,Alida,Remix
2 Phút Hơn (KAIZ Remix),Pháo,2 Phút Hơn (KAIZ Remix),3:04,184,,Remix
Careless,Neffex,Careless,4:57,297,,
Swipe,Showtek,Armada Miami 2017 (The Club Edition),3:53,233,,
Control,Zoe Wees,Control,3:51,231,,
This Is The Life,LittleKings; Kalkovich; Zoë Low,This Is The Life,3:12,192,,
I Took A Pill In Ibiza (Seeb Remix),Mike Posner,"At Night, Alone. (Expanded Edition)",3:18,198,,Remix
All The Things She Said,Poppy,All The Things She Said,3:42,222,,
Dance: ‘Til You Love Someone Else,Sam Smith,Love Goes,3:46,226,,
Commander In Chief,Demi Lovato,Commander In Chief,3:15,195,,
Moral of the Story,Ashe,Moral of the Story: Chapter 1,3:22,202,,
Run Back to You,Hoang,Run Back to You,3:15,195,,
People I Don't Like,UPSAHL,People I Don't Like,2:23,143,,
Man's World,MARINA,Man's World,3:28,208,,
We'll Meet Again,TheFatRat; Laura Brehm,We'll Meet Again,3:16,196,,
Hush (合作演出：Reikko),Yellow Claw; Weird Genius,Hush,3:48,228,Reikko,
Hypnotized (Acoustic),Purple Disco Machine; Sophie and the Giants,Hypnotized (Acoustic),3:32,212,,Acoustic
Take You To Hell,Ava Max,Heaven & Hell,2:45,165,,
Let's Love,大衛·庫塔; Sia,Let's Love,3:21,201,,
Lonely,小賈斯汀; 班尼·布蘭科,Lonely,2:30,150,,
Therefore I Am,Billie Eilish,Therefore I Am,2:55,175,,
Blinding Lights (Remix),The Weeknd; ROSALÍA,Blinding Lights (Remix),3:37,217,,Remix
Money (James Mercy Remix),Mia Vaile,Wallflower EP (Remixes),3:00,180,,Remix
Ellie Goulding - Lights (Nitti Gritti Remix),,Trap Nation,3:20,200,,Remix
Cool Kids,Echosmith,Talking Dreams (Deluxe Edition),3:58,238,,
Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,4:28,268,,
Matter To You,薩莎·斯隆,Only Child,3:38,218,,
TiK ToK (合作演出：Liinii),Olympis; Helion,TiK ToK,2:27,147,Liinii,
Broken Glass,Kygo; Kim Petras,Golden Hour,3:24,204,,
No Time To Die,Billie Eilish,No Time To Die,4:03,243,,
Rave Teacher (Somebody Like Me),Scooter; Xillions,Rave Teacher (Somebody Like Me),3:16,196,,
Don't Leave Me Now (Extended Mix),Lost Frequencies; Mathieu Koss,Cup of Beats,4:07,247,,
Sideways,Forest Blakk,Sideways,2:59,179,,
Hymn for the Weekend,Coldplay,A Head Full of Dreams,4:19,259,,
Dolly Song (Devil's Cup),VIZE; Leony,Dolly Song (Devil's Cup),2:38,158,,
Butterfly,Marnik; Hard Lights,Butterfly,2:51,171,,
Crush (合作演出：Michelle Hord),Jerome; Eric Chase,Crush,3:20,200,Michelle Hord,
In Too Deep (Firelite Remix) (合作演出：Mylki),Fresh Til’ Death,In Too Deep (Firelite Remix),2:59,179,Mylki,Remix
A Thousand Ways,Phoebe Ryan,A Thousand Ways,4:01,241,,
Mamma Mia (合作演出：Amber Van Day),HUGEL,Mamma Mia,2:03,123,Amber Van Day,
champagne problems,Taylor Swift,evermore,4:04,244,,
I'm Gonna Show You Crazy,Bebe Rexha,I Don't Wanna Grow Up,3:28,208,,
Herzlos,Mila,Herzlos,3:14,194,,
Tie Me Down,Gryffin; Elley Duhé,Tie Me Down,3:39,219,,
Carol of the Bells,Halocene,Carol of the Bells,3:11,191,,
Hope (合作演出：Winona Oak),The Chainsmokers,Sick Boy,3:01,181,Winona Oak,
Great Spirit (Extended Mix),Armin van Buuren; Vini Vici; Hilight Tribe,Great Spirit,7:38,458,,
Blame (合作演出：John Newman),凱文哈里斯,Motion,3:33,213,John Newman,
Far Away From Home (合作演出：Leony),山姆·費爾特; VIZE,Far Away From Home,2:44,164,Leony,
Video Games,Lana Del Rey,Born To Die - The Paradise Edition,4:42,282,,
Carnival (Dimitri Vegas & Like Mike Edit) (合作演出：X-Tof),Timmy Trumpet; MATTN; Wolfpack,Carnival (Dimitri Vegas & Like Mike Edit),2:59,179,X-Tof,Edit
The Best Days (合作演出：Tabitha),Sam Feldt; Karma Child,The Best Days,2:42,162,Tabitha,
You & Me (Le Shuuk vs. Jerome),Le Shuuk; 傑羅姆,You & Me (Le Shuuk vs. Jerome),3:11,191,,
Land of Opportunity,A Great Big World,Is There Anybody Out There?,3:26,206,,
Wasting Our Lives (WLTP) (Extended Mix) (合作演出：Tryna),Showtek,Wasting Our Lives (WLTP),4:42,282,Tryna,
Oracle,Timmy Trumpet,Oracle,3:01,181,,
Get Ready Now (Extended Mix),VINAI,Get Ready Now,3:53,233,,
Only Go Higher,Jerome,Only Go Higher,2:22,142,,
Setting Fires (Blasterjaxx Remix),The Chainsmokers; XYLØ,Setting Fires (Remixes),3:33,213,,Remix
I Hope,Gabby Barrett,Goldmine,3:31,211,,
Call on Me (Ryan Riback Remix),Starley,Call on Me (Ryan Riback Remix),3:43,223,,Remix
New York City (Dash Berlin Remix),The Chainsmokers,New York City (Dash Berlin Remix),3:13,193,,Remix
Scream & Shout (合作演出：Britney Spears),will.i.am,Scream & Shout,4:45,285,Britney Spears,
Friends,Why Don't We,8 Letters,3:35,215,,
Candlelight,LIZOT,Candlelight,2:31,151,,
Do Bad Well (合作演出：Nevve),KSHMR,Do Bad Well,3:25,205,Nevve,
I Will Let You Down (合作演出：KLARA),Madison Mars,I Will Let You Down,3:02,182,KLARA,
Seesaw,Ummet Ozcan,Seesaw,2:58,178,,
Drown (Nicky Romero Remix) (合作演出：Clinton Kane),Martin Garrix; Clinton Kane; Nicky Romero,Drown (feat. Clinton Kane) (Nicky Romero Remix),3:08,188,Clinton Kane,Remix
are you sure?,Loote,lost,3:25,205,,
Born To Die,Lana Del Rey,Born To Die,4:47,287,,
STUCK IN 2020 | A Year-End Megamix (Mashup of 100+ Songs) // by Adamusic,,Adamusic,10:47,647,,
Champions,Kurt Hugo Schneider; Andie Case,Kurt Hugo Schneider 2020-2,3:19,199,,
Favorite Part Of Me (R3HAB Remix),Astrid S,Favorite Part Of Me (R3HAB Remix),2:52,172,,Remix
Lasting Lover (Tiësto Remix),Sigala; James Arthur; 提雅斯多,Lasting Lover (Tiësto Remix),3:33,213,,Remix
Trap (Rompasso Remix),SAINt JHN; Rompasso,Trap (Rompasso Remix),2:49,169,,Remix
Selfish (Alan Walker Remix),Madison Beer,Selfish (Alan Walker Remix),3:34,214,,Remix
Super Bass,Nicki Minaj,Pink Friday (Complete Edition),3:21,201,,
Stronger (What Doesn't Kill You),凱莉克萊森,堅定不移,3:42,222,,
Never Worn White,Katy Perry,Never Worn White,3:46,226,,
Toxic,2WEI,Sequels,3:58,238,,
Nevada,Vicetone; Cozi Zuehlsdorff,Nevada,3:29,209,,
Freaks,Timmy Trumpet,Freaks,4:35,275,,
Young God,Halsey,BADLANDS,3:01,181,,
Rave Love (Extended Mix) (合作演出：SONJA),W; AXMO,Rave Love,4:10,250,SONJA,
7 Years,Lukas Graham,Lukas Graham,3:58,238,,
Me And My Broken Heart,Rixton,Let The Road,3:14,194,,
Don't Leave Me Now,Lost Frequencies; Mathieu Koss,Cup of Beats,3:16,196,,
Left & Right,Malou Prytz,Left & Right,2:50,170,& Right,
Letters,Lucas; Steve,Letters,3:11,191,,
Gimme! Gimme! Gimme!,Gamper; Dadoni,Gimme! Gimme! Gimme!,3:08,188,,
911,R3HAB; Timmy Trumpet,911,2:09,129,,
(If) the Book Doesn't Sell,Ritt Momney,Her and All of My Friends,4:49,289,,
Beautiful Mayhem,DeathbyRomy,Beautiful Mayhem,3:10,190,,
Юность,Dabro,Юность,3:40,220,,
Tuesday (合作演出：Danelle Sandoval),伯克·耶特,Tuesday,4:02,242,Danelle Sandoval,
Oxygen,Winona Oak; Robin Schulz,Oxygen,3:13,193,,
"Relax, Take It Easy",MIKA,Life In Cartoon Motion,4:30,270,,
Can't Hold Us (合作演出：Ray Dalton),麥可莫,The Heist (Deluxe Edition),4:19,259,Ray Dalton,
Trust Fund Baby,Why Don't We,Trust Fund Baby,3:05,185,,
Toothbrush,DNCE,DNCE,3:52,232,,
Maybe Don't (合作演出：JP Saxe),Maisie Peters,Maybe Don't,2:55,175,JP Saxe,
We're Just Kids,Call Me Karizma,We're Just Kids,3:10,190,,
Problems,DeathbyRomy,Problems,3:09,189,,
Knockout (Da Tweekaz Remix),Tungevaag,Knockout (Da Tweekaz Remix),2:43,163,,Remix
Hot Stuff,Kygo; 唐娜桑瑪,Hot Stuff,3:20,200,,
Wait Another Day,Mike Williams; Mesto,Ibiza Closing Party Anthems 2019 (Presented by Spinnin' Records),3:00,180,,
Aurora,K-391; RØRY,Aurora,2:45,165,,
KSHMR Live DJ Set - Free Fire Booyah Day Theme Song Celebration,,Spinnin' Records,29:54,1794,,Live
Runaway (U & I),Galantis,Pharmacy,3:48,228,,
Nights With You,MØ,Nights With You,3:18,198,,
Meet Me,Mickey Valen; Noé,Meet Me,3:14,194,,
Lean On (CRNKN Remix) (合作演出：DJ Snake和MØ),Major Lazer,Lean On (Remixes),3:24,204,DJ Snake和MØ,Remix
Bad Girls,M.I.A.,Matangi,3:48,228,,
a thousand years,Christina Perri,a thousand years,4:46,286,,
The One That Got Away,Katy Perry,Teenage Dream,3:48,228,,
Haunted,Taylor Swift,Speak Now,4:03,243,,
Until You Were Gone (Reez Remix) (合作演出：Emily Warren),The Chainsmokers; Tritonal,Until You Were Gone (Remixes),3:37,217,Emily Warren,Remix
Parade,VINAI,Parade,2:42,162,,
Better Than Revenge,Taylor Swift,Speak Now,3:38,218,,
That's What I Call Crazy,Lucy Hale,Road Between (Deluxe Edition),3:26,206,,
Eu Só Queria Te Amar (Corre),Lais Yasmin,Laís,4:27,267,,
Long Live,Taylor Swift,Speak Now,5:18,318,,Live
Memories [Radio Edit] (合作演出：Sirah),KSHMR; Bassjackers,Memories,3:06,186,Sirah,Edit
Mean It,Gracie Abrams,Mean It,2:52,172,,
Jupiter,Jerome,Jupiter,2:28,148,,
Instagram,Dimitri Vegas; Like Mike; David Guetta; 洋基老爹; Afro Bros,Instagram,3:05,185,,
Heart Shaped Box,Neovaii,Closure,4:51,291,,
Little Do You Know,Campsite Dream,Little Do You Know,2:49,169,,
Drink About (MOTi Remix),SeeB; Dagny; MOTi,Drink About (MOTi Remix),2:50,170,,Remix
I Don't Wanna Live Forever (合作演出：Kayla Diamond),Kiso,I Don't Wanna Live Forever,3:12,192,Kayla Diamond,Live
Quarantine,Mat Best; Tim Montana,Quarantine,3:22,202,,
Scare Me (合作演出：Karra),LUM!X; KSHMR; Gabry Ponte,Scare Me,2:23,143,Karra,
Shameless (合作演出：Stef Classens),Nils van Zandt,Shameless,2:34,154,Stef Classens,
Mad at Disney,salem ilese,Mad at Disney,2:17,137,,
Pretty Little Mind,Gabi DeMartino,Pretty Little Mind,3:00,180,,
One More Round (Free Fire Booyah Day Theme Song),KSHMR; Jeremy Oceans,One More Round (Free Fire Booyah Day Theme Song),3:22,202,,
Just A Dream,Kurt Hugo Schneider; Christina Grimmie; Sam Tsui,Just A Dream,4:24,264,,
英雄联盟S10应援曲 (Champions版),Kurt Hugo Schneider,英雄联盟S10应援曲 (Champions版),3:20,200,,
Nights with You (Mixed),MØ,Walshy Fire Presents: MMMMØ - The Mix,1:21,81,,
Final Song,MØ,Final Song,3:56,236,,
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Extended Remix),Lana Del Rey; Cedric Gervais,VIP DJ,6:53,413,,Remix
Don't Say (合作演出：Emily Warren),The Chainsmokers,Memories...Do Not Open,3:49,229,Emily Warren,
See The Way (合作演出：Sabrina Claudio),The Chainsmokers,World War Joy,2:58,178,Sabrina Claudio,
#SELFIE,The Chainsmokers,#SELFIE,3:04,184,,
Mr. Brightside,Don Diablo,Mr. Brightside,3:47,227,,
Not Ok,Kygo; Chelsea Cutler,Not Ok,3:31,211,,
Castle,Halsey,BADLANDS,4:38,278,,
Warriors,League of Legends; 2WEI; Edda Hayes,Warriors,3:25,205,,
Legends Never Die,League of Legends; Against The Current,Legends Never Die,3:55,235,,
Centuries,Fall Out Boy,American Beauty/American Psycho,3:49,229,,
Just Hold On,Steve Aoki; Louis Tomlinson,Neon Future III,3:19,199,,
Flashlight,R3HAB; Deorro,Flashlight,3:53,233,,
End Of The Night,Danny Avila,End Of The Night,3:26,206,,
Sixteen,Ellie Goulding,Brightest Blue,3:22,202,,
Takeaway (合作演出：萊南·斯特拉),老菸槍雙人組; Illenium,World War Joy...Takeaway,3:30,210,萊南·斯特拉,
Tell Me It's Okay,Fells,Tell Me It's Okay,3:47,227,,
End of Time (VIZE Remix),K-391; Alan Walker; Ahrix,End of Time (Remixes),2:58,178,,Remix
Wing$,Macklemore; Ryan Lewis,The Heist,5:00,300,,
White Walls (合作演出：Hollis和ScHoolboy Q),Macklemore; Ryan Lewis,The Heist,3:41,221,Hollis和ScHoolboy Q,
Thrift Shop (合作演出：Wanz),Macklemore; Ryan Lewis,Thrift Shop (feat. Wanz),3:56,236,Shop (合作演出：Wanz,
Nothing at All,MagSonics,Nothing at All,3:21,201,,
Hard 2 Face Reality (合作演出：Justin Bieber和Jay Electronica),Poo Bear,Poo Bear Presents: Bearthday Music,3:17,197,Justin Bieber和Jay Electronica,
Come Over (Acoustic Mixtape),Sam Hunt,Between The Pines (Acoustic Mixtape),4:02,242,,Acoustic
Never forgiving,Emma Steinbakken,Never forgiving,3:22,202,,
LOVE SUX,Marisa Maino,STAGES OF LOVE & HEARTBREAK,3:05,185,,
Starboy (Acoustic),Simon Samaeng,Starboy,3:46,226,,Acoustic
WTF (合作演出：Amber Van Day),HUGEL,WTF,2:41,161,Amber Van Day,
ME! (合作演出：Brendon Urie和Brendon Urie of Panic! At The Disco),Taylor Swift,ME!,3:14,194,Brendon Urie和Brendon Urie of Panic! At The Disco,
