title,artist,path,bpm,energy
Against The Current – “Dreaming Alone (feat. Taka)” [日本語字幕付きver.],Unknown Artist,media/Against The Current – “Dreaming Alone (feat. Taka)” [日本語字幕付きver.].mp3,144,0.12
Hall of Fame,The Script · will.i.am,media/Hall of Fame.mp3,172,0.27
House of Memories,Panic! at the Disco,media/Panic! at the Disco - House of Memories (Bennett Remix).mp3,129,0.36
Takeaway,The Chainsmokers · Illenium · Lennon Stella,media/Takeaway.mp3,99,0.19
Mamma Mia (feat. Amber Van Day),HUGEL · Amber Van Day,media/Mamma Mia (feat. Amber Van Day).mp3,123,0.25
The Way I Loved You (Taylor’s Version),Taylor Swift,media/The Way I Loved You (Taylor’s Version).mp3,161,0.25
Dreamers Of The Universe,Ran-D · Mark Vayne · Diesel,media/Dreamers Of The Universe.mp3,152,0.37
Trampoline,SHAED,media/Trampoline.mp3,129,0.23
Sabai & Hoang,Million Days (Lyrics) Ayon Remix,media/Sabai & Hoang - Million Days (Lyrics) Ayon Remix.mp3,144,0.37
You Signed Up For This,Joe Rubel,media/You Signed Up For This.mp3,129,0.3
White Horse (Taylor’s Version),Taylor Swift,media/White Horse (Taylor’s Version).mp3,92,0.22
Ахегао,Мэйби Бэйби · Виктория Лысюк · Галат Владимир Александрович,media/Ахегао.mp3,152,0.27
Photograph (Felix Jaehn Remix),Ed Sheeran,media/Photograph (Felix Jaehn Remix).mp3,117,0.28
One Million,Tujamo · LOTTEN,media/One Million.mp3,123,0.34
Don't Leave Me Now,Felix de Laet,media/Don't Leave Me Now.mp3,123,0.28
Better Than Revenge,Taylor Swift,media/Better Than Revenge.mp3,144,0.29
Just Like Fire (From the Original Motion Picture Alice Through The Looking Glass),Unknown Artist,media/Just Like Fire (From the Original Motion Picture Alice Through The Looking Glass).mp3,161,0.26
Slide,Zye Ca$h,media/Slide.mp3,108,0.27
Skyline,MÖWE,media/Skyline.mp3,117,0.32
Freaks,Timmy Trumpet · Timothy Jude Smith · Ivan Gough,media/Freaks.mp3,129,0.33
You Problem,Cloudy June · emlyn,media/You Problem.mp3,117,0.25
No Way,JRL,media/No Way.mp3,103,0.25
Legends Never Die,League of Legends · Against The Current,media/Legends Never Die.mp3,144,0.27
Tripping Over Air,Aidan Bissett,media/Tripping Over Air.mp3,117,0.34
